,DateTime,Easting,Northing,Height,LineName
0,2021-09-30 03:48:16.000,534128.937,4271854.35,-35.063,MF3184
1,2021-09-30 03:48:16.100,534128.848,4271854.483,-35.066,MF3184
2,2021-09-30 03:48:16.200,534128.764,4271854.62,-35.043,MF3184
3,2021-09-30 03:48:16.300,534128.676,4271854.752,-35.046,MF3184
4,2021-09-30 03:48:16.400,534128.59,4271854.887,-35.051,MF3184
5,2021-09-30 03:48:16.500,534128.506,4271855.022,-35.058,MF3184
6,2021-09-30 03:48:16.600,534128.42,4271855.157,-35.062,MF3184
7,2021-09-30 03:48:16.700,534128.337,4271855.294,-35.069,MF3184
8,2021-09-30 03:48:16.800,534128.249,4271855.428,-35.082,MF3184
9,2021-09-30 03:48:16.900,534128.162,4271855.562,-35.085,MF3184
10,2021-09-30 03:48:17.000,534128.076,4271855.699,-35.089,MF3184
11,2021-09-30 03:48:17.100,534127.991,4271855.836,-35.094,MF3184
12,2021-09-30 03:48:17.200,534127.911,4271855.968,-35.103,MF3184
13,2021-09-30 03:48:17.300,534127.824,4271856.106000001,-35.113,MF3184
14,2021-09-30 03:48:17.400,534127.738,4271856.24,-35.122,MF3184
15,2021-09-30 03:48:17.500,534127.6460000001,4271856.374,-35.123000000000005,MF3184
16,2021-09-30 03:48:17.600,534127.557,4271856.508,-35.13,MF3184
17,2021-09-30 03:48:17.700,534127.468,4271856.6389999995,-35.135999999999996,MF3184
18,2021-09-30 03:48:17.800,534127.377,4271856.771000001,-35.147,MF3184
19,2021-09-30 03:48:17.900,534127.285,4271856.902,-35.167,MF3184
20,2021-09-30 03:48:18.000,534127.188,4271857.031,-35.172,MF3184
21,2021-09-30 03:48:18.100,534127.087,4271857.154,-35.176,MF3184
22,2021-09-30 03:48:18.200,534126.991,4271857.281,-35.179,MF3184
23,2021-09-30 03:48:18.300,534126.8910000001,4271857.411,-35.178000000000004,MF3184
24,2021-09-30 03:48:18.400,534126.79,4271857.537,-35.177,MF3184
